,Companies,Vaccinations
0,Anhui ZL , Zifivax
1,AstraZeneca , AZD1222
2,AstraZeneca , Vaxzevria
3,Beijing CNBG , BBIBP
4,Bharat , Covaxin
5,Biological E , Corbevax
6,CIGB , CIGB
7,CanSino , Convidecia
8,Chumakov , Covi
9,Finlay , Soberana Plus
10,Finlay , Soberana
11,Gamaleya , Gam
12,Gamaleya , Sputnik V
13,Gamaleya , Sputnik
14,IMB , Covidful
15,Janssen , Ad26.COV 2
16,Julphar , Hayat
17,Moderna , Spikevax
18,Moderna , mRNA
19,Novavax,NUVAXOVID
20,Pfizer BioNTech , Comirnaty
21,RIBSP , QazVac
22,SII , Covishield
23,SII , Covovax
24,SRCVB , EpiVacCorona
25,Shenzhen , LV
26,Shifa , COVIran Barakat
27,Sinovac , CoronaVac
28,Turkovac,ERUCOV-VAC
29,Wuhan CNBG , Inactivated
30,Zydus , ZyCov
